split,image_path,original_class,disease_label
train,data/raw/train/apple black rot/apple_black_rot_1.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_11.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_12.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_143.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_144.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_15.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_167.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_175.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_18.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_187.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_28.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_3.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_34.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_38.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_4.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_44.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_53.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_6.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_61.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_69.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_7.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_74.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_8.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_80.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_9.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0000.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0001.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0002.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0003.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0005.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0008.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0012.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0015.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0022.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0024.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0026.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0028.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0033.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0037.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0045.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0048.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0050.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0051.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0055.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0062.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0063.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0064.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0073.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0074.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0077.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0078.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0080.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0085.jpg,apple black rot,black rot
train,data/raw/train/apple black rot/apple_black_rot_google_0093.jpg,apple black rot,black rot
